season,, Guest_star,,  bday,, dday,, url
11,,Gary Coleman,,1968,,2010,, http://en.wikipedia.org/wiki/Gary_Coleman
11,,Henry Winkler,,1945,,-1,, http://en.wikipedia.org/wiki/Henry_Winkler
11,,Jack Burns,,1933,,-1,, http://en.wikipedia.org/wiki/Jack_Burns
11,,Jay North,,1951,,-1,, http://en.wikipedia.org/wiki/Jay_North
11,,Jim Cummings,,1952,,-1,, http://en.wikipedia.org/wiki/Jim_Cummings
11,,Jim Forbes,,-1,,-1,, http://en.wikipedia.org/wiki/Jim_Forbes_%28journalist%29
11,,Joe C.,,1974,,2000,, http://en.wikipedia.org/wiki/Joe_C.
11,,John Goodman,,1952,,-1,, http://en.wikipedia.org/wiki/John_Goodman
11,,Kid Rock,,1971,,-1,, http://en.wikipedia.org/wiki/Kid_Rock
11,,Lucy Lawless,,1968,,-1,, http://en.wikipedia.org/wiki/Lucy_Lawless
11,,Marc Wilmore,,-1,,-1,, http://en.wikipedia.org/wiki/Marc_Wilmore
11,,Mark McGwire,,1963,,-1,, http://en.wikipedia.org/wiki/Mark_McGwire
11,,Mel Gibson,,1956,,-1,, http://en.wikipedia.org/wiki/Mel_Gibson
11,,Nancy O'Dell,,1966,,-1,, http://en.wikipedia.org/wiki/Nancy_O%27Dell
11,,Parker Posey,,1968,,-1,, http://en.wikipedia.org/wiki/Parker_Posey
11,,Pat O'Brien,,1948,,-1,, http://en.wikipedia.org/wiki/Pat_O%27Brien_%28radio_and_television_personality%29
11,,Randy Bachman,,1943,,-1,, http://en.wikipedia.org/wiki/Randy_Bachman
11,,Robert Evans,,1930,,-1,, http://en.wikipedia.org/wiki/Robert_Evans_%28producer%29
11,,Shawn Colvin,,1956,,-1,, http://en.wikipedia.org/wiki/Shawn_Colvin
11,,Teller,,1948,,-1,, http://en.wikipedia.org/wiki/Teller_%28entertainer%29
11,,The B-52's,,-1,,-1,, http://en.wikipedia.org/wiki/The_B-52%27s
11,,Tim Robbins,,1958,,-1,, http://en.wikipedia.org/wiki/Tim_Robbins
11,,Tom Arnold,,1959,,-1,, http://en.wikipedia.org/wiki/Tom_Arnold_%28actor%29
11,,Trevor Denman,,-1,,-1,, http://en.wikipedia.org/wiki/Trevor_Denman
11,,Willie Nelson,,1933,,-1,, http://en.wikipedia.org/wiki/Willie_Nelson
12,,'N Sync[O],,-1,,-1,, http://en.wikipedia.org/wiki/%27N_Sync
12,,Amy Tan,,1952,,-1,, http://en.wikipedia.org/wiki/Amy_Tan
12,,Andre Agassi,,1970,,-1,, http://en.wikipedia.org/wiki/Andre_Agassi
12,,Bruce Vilanch,,1948,,-1,, http://en.wikipedia.org/wiki/Bruce_Vilanch
12,,Charles Napier,,1936,,2011,, http://en.wikipedia.org/wiki/Charles_Napier_%28actor%29
12,,Drew Barrymore,,1975,,-1,, http://en.wikipedia.org/wiki/Drew_Barrymore
12,,Edward Norton,,1969,,-1,, http://en.wikipedia.org/wiki/Edward_Norton
12,,Frankie Muniz,,1985,,-1,, http://en.wikipedia.org/wiki/Frankie_Muniz
12,,Jay Mohr,,1970,,-1,, http://en.wikipedia.org/wiki/Jay_Mohr
12,,John Updike,,1932,,2009,, http://en.wikipedia.org/wiki/John_Updike
12,,Joshua Jackson,,1978,,-1,, http://en.wikipedia.org/wiki/Joshua_Jackson
12,,Kathy Griffin,,1960,,-1,, http://en.wikipedia.org/wiki/Kathy_Griffin
12,,Leeza Gibbons,,1957,,-1,, http://en.wikipedia.org/wiki/Leeza_Gibbons
12,,Michael Keaton,,-1,,-1,, http://en.wikipedia.org/wiki/Michael_Keaton
12,,Patrick McGoohan,,1928,,2009,, http://en.wikipedia.org/wiki/Patrick_McGoohan
12,,Pete Sampras,,1971,,-1,, http://en.wikipedia.org/wiki/Pete_Sampras
12,,Robert Schimmel,,1950,,2010,, http://en.wikipedia.org/wiki/Robert_Schimmel
12,,Serena Williams,,1981,,-1,, http://en.wikipedia.org/wiki/Serena_Williams
12,,Stacy Keach,,1941,,-1,, http://en.wikipedia.org/wiki/Stacy_Keach
12,,Stephen King,,1947,,-1,, http://en.wikipedia.org/wiki/Stephen_King
12,,The Who[N],,-1,,-1,, http://en.wikipedia.org/wiki/The_Who
12,,Tom Savini,,1946,,-1,, http://en.wikipedia.org/wiki/Tom_Savini
12,,Venus Williams,,1980,,-1,, http://en.wikipedia.org/wiki/Venus_Williams
13,,Ben Stiller,,1965,,-1,, http://en.wikipedia.org/wiki/Ben_Stiller
13,,Bill Saluga,,1937,,-1,, http://en.wikipedia.org/wiki/Bill_Saluga
13,,Carmen Electra,,1972,,-1,, http://en.wikipedia.org/wiki/Carmen_Electra
